"Chr"	"start_max"	"end_max"	"Id"	"score"	"strand"	"condition"	"Cluster_Shape"
"41...299"	1	2139408	2139538	"CNAG_00809"	0	"+"	"STAT 30"	"Broad"
"29...300"	1	2139408	2139538	"CNAG_00809b"	0	"+"	"EXPO 37"	"Broad"
"32...301"	1	2139408	2139538	"CNAG_00809bc"	0	"+"	"STAT 37"	"Sharp"
"395...302"	1	2144393	2144523	"CNAG_00810"	0	"-"	"EXPO 30"	"Sharp"
"390...303"	1	2144393	2144523	"CNAG_00810b"	0	"-"	"STAT 30"	"NA"
"299...304"	1	2144393	2144523	"CNAG_00810bc"	0	"-"	"EXPO 37"	"Sharp"
"396...305"	1	2146551	2146681	"CNAG_00811"	0	"-"	"EXPO 30"	"Broad"
"45...306"	1	2152400	2152530	"CNAG_00813"	0	"+"	"EXPO 30"	"NA"
"397...307"	1	2164874	2165004	"CNAG_00816"	0	"-"	"EXPO 30"	"NA"
"391...308"	1	2164907	2165037	"CNAG_00816b"	0	"-"	"STAT 30"	"NA"
"300...309"	1	2164874	2165004	"CNAG_00816bc"	0	"-"	"EXPO 37"	"Broad"
"318...310"	1	2164907	2165037	"CNAG_00816bcd"	0	"-"	"STAT 37"	"NA"
"319...311"	1	2171804	2171934	"CNAG_00819"	0	"-"	"STAT 37"	"Sharp"
"398...312"	1	2174647	2174777	"CNAG_00821"	0	"-"	"EXPO 30"	"Broad"
"392...313"	1	2174647	2174777	"CNAG_00821b"	0	"-"	"STAT 30"	"Broad"
"301...314"	1	2174647	2174777	"CNAG_00821bc"	0	"-"	"EXPO 37"	"Broad"
"320...315"	1	2174647	2174777	"CNAG_00821bcd"	0	"-"	"STAT 37"	"Broad"
"46...316"	1	2212731	2212861	"CNAG_00834"	0	"+"	"EXPO 30"	"Broad"
"42...317"	1	2212731	2212861	"CNAG_00834b"	0	"+"	"STAT 30"	"Broad"
"30...318"	1	2212731	2212861	"CNAG_00834bc"	0	"+"	"EXPO 37"	"Broad"
"33...319"	1	2212731	2212861	"CNAG_00834bcd"	0	"+"	"STAT 37"	"Broad"
"399...320"	1	2241425	2241555	"CNAG_00846"	0	"-"	"EXPO 30"	"Sharp"
"393...321"	1	2241425	2241555	"CNAG_00846b"	0	"-"	"STAT 30"	"Sharp"
"302...322"	1	2241425	2241555	"CNAG_00846bc"	0	"-"	"EXPO 37"	"Broad"
"321...323"	1	2241425	2241555	"CNAG_00846bcd"	0	"-"	"STAT 37"	"Sharp"
"400...324"	1	2248671	2248801	"CNAG_00848"	0	"-"	"EXPO 30"	"Broad"
"401...325"	5	1789751	1789881	"CNAG_00866"	0	"-"	"EXPO 30"	"NA"
"394...326"	5	1789751	1789881	"CNAG_00866b"	0	"-"	"STAT 30"	"Sharp"
"303...327"	5	1789751	1789881	"CNAG_00866bc"	0	"-"	"EXPO 37"	"NA"
"322...328"	5	1789751	1789881	"CNAG_00866bcd"	0	"-"	"STAT 37"	"Sharp"
"402...329"	5	1732794	1732924	"CNAG_00884"	0	"-"	"EXPO 30"	"Broad"
"395...330"	5	1732794	1732924	"CNAG_00884b"	0	"-"	"STAT 30"	"Broad"
"304...331"	5	1732794	1732924	"CNAG_00884bc"	0	"-"	"EXPO 37"	"Broad"
"323...332"	5	1732792	1732922	"CNAG_00884bcd"	0	"-"	"STAT 37"	"Broad"
"403...333"	5	1726856	1726986	"CNAG_00886"	0	"-"	"EXPO 30"	"Broad"
"305...334"	5	1726856	1726986	"CNAG_00886b"	0	"-"	"EXPO 37"	"Broad"
"404...335"	5	1705838	1705968	"CNAG_00894"	0	"-"	"EXPO 30"	"NA"
"396...336"	5	1705838	1705968	"CNAG_00894b"	0	"-"	"STAT 30"	"NA"
"306...337"	5	1705838	1705968	"CNAG_00894bc"	0	"-"	"EXPO 37"	"Sharp"
"324...338"	5	1705838	1705968	"CNAG_00894bcd"	0	"-"	"STAT 37"	"Sharp"
"405...339"	5	1694518	1694648	"CNAG_00897"	0	"-"	"EXPO 30"	"Sharp"
"397...340"	5	1694518	1694648	"CNAG_00897b"	0	"-"	"STAT 30"	"Broad"
"406...341"	5	1627767	1627897	"CNAG_00920"	0	"-"	"EXPO 30"	"Broad"
"398...342"	5	1627778	1627908	"CNAG_00920b"	0	"-"	"STAT 30"	"Broad"
"407...343"	5	1610615	1610745	"CNAG_00928"	0	"-"	"EXPO 30"	"Broad"
"43...344"	5	1604186	1604316	"CNAG_00929"	0	"+"	"STAT 30"	"Broad"
"34...345"	5	1604186	1604316	"CNAG_00929b"	0	"+"	"STAT 37"	"Broad"
"307...346"	5	1554973	1555103	"CNAG_00961"	0	"-"	"EXPO 37"	"Broad"
"325...347"	5	1554973	1555103	"CNAG_00961b"	0	"-"	"STAT 37"	"Sharp"
"44...348"	5	1517705	1517835	"CNAG_00979"	0	"+"	"STAT 30"	"Broad"
"47...349"	5	1511188	1511318	"CNAG_00982"	0	"+"	"EXPO 30"	"NA"
"45...350"	5	1511190	1511320	"CNAG_00982b"	0	"+"	"STAT 30"	"Sharp"
"46...351"	5	1505554	1505684	"CNAG_00984"	0	"+"	"STAT 30"	"Broad"
"31...352"	5	1505554	1505684	"CNAG_00984b"	0	"+"	"EXPO 37"	"Broad"
"35...353"	5	1505554	1505684	"CNAG_00984bc"	0	"+"	"STAT 37"	"Broad"
"399...354"	5	1490609	1490739	"CNAG_00992"	0	"-"	"STAT 30"	"NA"
"308...355"	5	1490672	1490802	"CNAG_00992b"	0	"-"	"EXPO 37"	"NA"
"326...356"	5	1490672	1490802	"CNAG_00992bc"	0	"-"	"STAT 37"	"Broad"
"48...357"	5	1485943	1486073	"CNAG_00994"	0	"+"	"EXPO 30"	"Sharp"
"47...358"	5	1485943	1486073	"CNAG_00994b"	0	"+"	"STAT 30"	"NA"
"32...359"	5	1485943	1486073	"CNAG_00994bc"	0	"+"	"EXPO 37"	"NA"
"36...360"	5	1485943	1486073	"CNAG_00994bcd"	0	"+"	"STAT 37"	"Sharp"
"49...361"	5	1483108	1483238	"CNAG_00995"	0	"+"	"EXPO 30"	"NA"
"48...362"	5	1483110	1483240	"CNAG_00995b"	0	"+"	"STAT 30"	"Broad"
"33...363"	5	1483108	1483238	"CNAG_00995bc"	0	"+"	"EXPO 37"	"Broad"
"37...364"	5	1483110	1483240	"CNAG_00995bcd"	0	"+"	"STAT 37"	"Broad"
"408...365"	5	1482431	1482561	"CNAG_00996"	0	"-"	"EXPO 30"	"Sharp"
"400...366"	5	1482431	1482561	"CNAG_00996b"	0	"-"	"STAT 30"	"NA"
"409...367"	5	1442696	1442826	"CNAG_01010"	0	"-"	"EXPO 30"	"NA"
"401...368"	5	1442696	1442826	"CNAG_01010b"	0	"-"	"STAT 30"	"Sharp"
"309...369"	5	1442696	1442826	"CNAG_01010bc"	0	"-"	"EXPO 37"	"Sharp"
"327...370"	5	1442696	1442826	"CNAG_01010bcd"	0	"-"	"STAT 37"	"Broad"
"410...371"	5	1435778	1435908	"CNAG_01014"	0	"-"	"EXPO 30"	"Broad"
"402...372"	5	1435778	1435908	"CNAG_01014b"	0	"-"	"STAT 30"	"Broad"
"328...373"	5	1435778	1435908	"CNAG_01014bc"	0	"-"	"STAT 37"	"Broad"
"34...374"	5	1416490	1416620	"CNAG_01019"	0	"+"	"EXPO 37"	"NA"
"329...375"	5	1401676	1401806	"CNAG_01027"	0	"-"	"STAT 37"	"Sharp"
"50...376"	5	1392957	1393087	"CNAG_01031"	0	"+"	"EXPO 30"	"Sharp"
"49...377"	5	1392957	1393087	"CNAG_01031b"	0	"+"	"STAT 30"	"Sharp"
"35...378"	5	1392957	1393087	"CNAG_01031bc"	0	"+"	"EXPO 37"	"Sharp"
"38...379"	5	1392956	1393086	"CNAG_01031bcd"	0	"+"	"STAT 37"	"Sharp"
"50...380"	5	1352606	1352736	"CNAG_01047"	0	"+"	"STAT 30"	"Broad"
"36...381"	5	1352606	1352736	"CNAG_01047b"	0	"+"	"EXPO 37"	"Broad"
"39...382"	5	1352606	1352736	"CNAG_01047bc"	0	"+"	"STAT 37"	"Broad"
"411...383"	5	1342901	1343031	"CNAG_01051"	0	"-"	"EXPO 30"	"Sharp"
"412...384"	5	1337339	1337469	"CNAG_01052"	0	"-"	"EXPO 30"	"Sharp"
"403...385"	5	1337339	1337469	"CNAG_01052b"	0	"-"	"STAT 30"	"Sharp"
"330...386"	5	1337339	1337469	"CNAG_01052bc"	0	"-"	"STAT 37"	"Sharp"
"51...387"	5	1325737	1325867	"CNAG_01055"	0	"+"	"STAT 30"	"NA"
"40...388"	5	1325737	1325867	"CNAG_01055b"	0	"+"	"STAT 37"	"NA"
"413...389"	5	1314271	1314401	"CNAG_01060"	0	"-"	"EXPO 30"	"Broad"
"404...390"	5	1314271	1314401	"CNAG_01060b"	0	"-"	"STAT 30"	"Broad"
"310...391"	5	1314271	1314401	"CNAG_01060bc"	0	"-"	"EXPO 37"	"Broad"
"311...392"	5	1254556	1254686	"CNAG_01082"	0	"-"	"EXPO 37"	"Broad"
"331...393"	5	1254556	1254686	"CNAG_01082b"	0	"-"	"STAT 37"	"Broad"
"405...394"	5	1237317	1237447	"CNAG_01089"	0	"-"	"STAT 30"	"NA"
"41...395"	5	1234661	1234791	"CNAG_01090"	0	"+"	"STAT 37"	"Broad"
"332...396"	5	1203066	1203196	"CNAG_01104"	0	"-"	"STAT 37"	"Broad"
"414...397"	5	1166885	1167015	"CNAG_01117"	0	"-"	"EXPO 30"	"NA"
"406...398"	5	1166863	1166993	"CNAG_01117b"	0	"-"	"STAT 30"	"NA"
"333...399"	5	1166885	1167015	"CNAG_01117bc"	0	"-"	"STAT 37"	"NA"
"415...400"	5	1139283	1139413	"CNAG_01126"	0	"-"	"EXPO 30"	"NA"
"51...401"	5	1108186	1108316	"CNAG_01136"	0	"+"	"EXPO 30"	"NA"
"37...402"	5	1108186	1108316	"CNAG_01136b"	0	"+"	"EXPO 37"	"NA"
"42...403"	5	1108186	1108316	"CNAG_01136bc"	0	"+"	"STAT 37"	"NA"
"52...404"	5	1104621	1104751	"CNAG_01137"	0	"+"	"EXPO 30"	"Sharp"
"52...405"	5	1104621	1104751	"CNAG_01137b"	0	"+"	"STAT 30"	"Sharp"
"38...406"	5	1104621	1104751	"CNAG_01137bc"	0	"+"	"EXPO 37"	"Sharp"
"43...407"	5	1104621	1104751	"CNAG_01137bcd"	0	"+"	"STAT 37"	"Sharp"
"53...408"	5	1079341	1079471	"CNAG_01147"	0	"+"	"EXPO 30"	"NA"
"53...409"	5	1079341	1079471	"CNAG_01147b"	0	"+"	"STAT 30"	"Broad"
"39...410"	5	1079341	1079471	"CNAG_01147bc"	0	"+"	"EXPO 37"	"NA"
"54...411"	5	1068966	1069096	"CNAG_01150"	0	"+"	"EXPO 30"	"NA"
"54...412"	5	1068966	1069096	"CNAG_01150b"	0	"+"	"STAT 30"	"NA"
"40...413"	5	1068966	1069096	"CNAG_01150bc"	0	"+"	"EXPO 37"	"NA"
"44...414"	5	1068966	1069096	"CNAG_01150bcd"	0	"+"	"STAT 37"	"NA"
"55...415"	5	1065933	1066063	"CNAG_01152"	0	"+"	"EXPO 30"	"NA"
"41...416"	5	1065933	1066063	"CNAG_01152b"	0	"+"	"EXPO 37"	"NA"
"312...417"	5	1065803	1065933	"CNAG_01153"	0	"-"	"EXPO 37"	"NA"
"334...418"	5	1065803	1065933	"CNAG_01153b"	0	"-"	"STAT 37"	"NA"
"416...419"	5	1049087	1049217	"CNAG_01159"	0	"-"	"EXPO 30"	"Sharp"
"407...420"	5	1049087	1049217	"CNAG_01159b"	0	"-"	"STAT 30"	"Broad"
"335...421"	5	1049087	1049217	"CNAG_01159bc"	0	"-"	"STAT 37"	"Broad"
"417...422"	5	1033643	1033773	"CNAG_01164"	0	"-"	"EXPO 30"	"Sharp"
"408...423"	5	1033643	1033773	"CNAG_01164b"	0	"-"	"STAT 30"	"Sharp"
"313...424"	5	1033643	1033773	"CNAG_01164bc"	0	"-"	"EXPO 37"	"Sharp"
"418...425"	5	1017263	1017393	"CNAG_01170"	0	"-"	"EXPO 30"	"Broad"
"409...426"	5	1017263	1017393	"CNAG_01170b"	0	"-"	"STAT 30"	"Broad"
"314...427"	5	1017263	1017393	"CNAG_01170bc"	0	"-"	"EXPO 37"	"Broad"
"336...428"	5	1017263	1017393	"CNAG_01170bcd"	0	"-"	"STAT 37"	"Broad"
"45...429"	5	1015435	1015565	"CNAG_01171"	0	"+"	"STAT 37"	"Broad"
"46...430"	5	992083	992213	"CNAG_01179"	0	"+"	"STAT 37"	"Broad"
"56...431"	5	988655	988785	"CNAG_01181"	0	"+"	"EXPO 30"	"Broad"
"55...432"	5	988655	988785	"CNAG_01181b"	0	"+"	"STAT 30"	"Broad"
"42...433"	5	988655	988785	"CNAG_01181bc"	0	"+"	"EXPO 37"	"Broad"
"47...434"	5	988655	988785	"CNAG_01181bcd"	0	"+"	"STAT 37"	"Broad"
"410...435"	5	982483	982613	"CNAG_01184"	0	"-"	"STAT 30"	"Broad"
"337...436"	5	982483	982613	"CNAG_01184b"	0	"-"	"STAT 37"	"Broad"
"57...437"	5	978509	978639	"CNAG_01185"	0	"+"	"EXPO 30"	"Broad"
"56...438"	5	978509	978639	"CNAG_01185b"	0	"+"	"STAT 30"	"Broad"
"43...439"	5	978509	978639	"CNAG_01185bc"	0	"+"	"EXPO 37"	"Broad"
"48...440"	5	978509	978639	"CNAG_01185bcd"	0	"+"	"STAT 37"	"Broad"
"58...441"	5	938756	938886	"CNAG_01202"	0	"+"	"EXPO 30"	"NA"
"57...442"	5	938756	938886	"CNAG_01202b"	0	"+"	"STAT 30"	"Sharp"
"44...443"	5	938756	938886	"CNAG_01202bc"	0	"+"	"EXPO 37"	"Broad"
"49...444"	5	938756	938886	"CNAG_01202bcd"	0	"+"	"STAT 37"	"Broad"
"59...445"	5	934710	934840	"CNAG_01204"	0	"+"	"EXPO 30"	"Broad"
"58...446"	5	934710	934840	"CNAG_01204b"	0	"+"	"STAT 30"	"Broad"
"45...447"	5	934710	934840	"CNAG_01204bc"	0	"+"	"EXPO 37"	"Sharp"
"50...448"	5	934710	934840	"CNAG_01204bcd"	0	"+"	"STAT 37"	"Broad"
"419...449"	5	906833	906963	"CNAG_01213"	0	"-"	"EXPO 30"	"NA"
"315...450"	5	906833	906963	"CNAG_01213b"	0	"-"	"EXPO 37"	"Sharp"
"60...451"	5	883939	884069	"CNAG_01224"	0	"+"	"EXPO 30"	"Sharp"
"59...452"	5	883939	884069	"CNAG_01224b"	0	"+"	"STAT 30"	"Sharp"
"46...453"	5	883939	884069	"CNAG_01224bc"	0	"+"	"EXPO 37"	"Sharp"
"51...454"	5	883939	884069	"CNAG_01224bcd"	0	"+"	"STAT 37"	"Sharp"
"420...455"	5	879209	879339	"CNAG_01228"	0	"-"	"EXPO 30"	"NA"
"61...456"	5	849986	850116	"CNAG_01235"	0	"+"	"EXPO 30"	"NA"
"421...457"	5	795047	795177	"CNAG_01253"	0	"-"	"EXPO 30"	"Broad"
"411...458"	5	795044	795174	"CNAG_01253b"	0	"-"	"STAT 30"	"Broad"
"316...459"	5	795047	795177	"CNAG_01253bc"	0	"-"	"EXPO 37"	"Broad"
"338...460"	5	795044	795174	"CNAG_01253bcd"	0	"-"	"STAT 37"	"Broad"
"422...461"	5	792915	793045	"CNAG_01255"	0	"-"	"EXPO 30"	"NA"
"412...462"	5	792915	793045	"CNAG_01255b"	0	"-"	"STAT 30"	"Broad"
"317...463"	5	792915	793045	"CNAG_01255bc"	0	"-"	"EXPO 37"	"Broad"
"413...464"	5	757576	757706	"CNAG_01263"	0	"-"	"STAT 30"	"Sharp"
"414...465"	5	740190	740320	"CNAG_01270"	0	"-"	"STAT 30"	"Broad"
"318...466"	5	740190	740320	"CNAG_01270b"	0	"-"	"EXPO 37"	"Broad"
"339...467"	5	740190	740320	"CNAG_01270bc"	0	"-"	"STAT 37"	"Broad"
"423...468"	5	734138	734268	"CNAG_01273"	0	"-"	"EXPO 30"	"Broad"
"415...469"	5	734138	734268	"CNAG_01273b"	0	"-"	"STAT 30"	"Sharp"
"319...470"	5	734138	734268	"CNAG_01273bc"	0	"-"	"EXPO 37"	"Sharp"
"340...471"	5	734138	734268	"CNAG_01273bcd"	0	"-"	"STAT 37"	"Broad"
"62...472"	5	728651	728781	"CNAG_01274"	0	"+"	"EXPO 30"	"NA"
"60...473"	5	728651	728781	"CNAG_01274b"	0	"+"	"STAT 30"	"Broad"
"47...474"	5	728651	728781	"CNAG_01274bc"	0	"+"	"EXPO 37"	"Sharp"
"63...475"	5	691179	691309	"CNAG_01284"	0	"+"	"EXPO 30"	"NA"
"61...476"	5	691208	691338	"CNAG_01284b"	0	"+"	"STAT 30"	"NA"
"48...477"	5	691208	691338	"CNAG_01284bc"	0	"+"	"EXPO 37"	"Broad"
"52...478"	5	691208	691338	"CNAG_01284bcd"	0	"+"	"STAT 37"	"NA"
"416...479"	5	684820	684950	"CNAG_01287"	0	"-"	"STAT 30"	"Broad"
"341...480"	5	684820	684950	"CNAG_01287b"	0	"-"	"STAT 37"	"Broad"
"64...481"	5	646972	647102	"CNAG_01300"	0	"+"	"EXPO 30"	"NA"
"62...482"	5	646937	647067	"CNAG_01300b"	0	"+"	"STAT 30"	"Broad"
"49...483"	5	646946	647076	"CNAG_01300bc"	0	"+"	"EXPO 37"	"NA"
"65...484"	5	627890	628020	"CNAG_01307"	0	"+"	"EXPO 30"	"NA"
"63...485"	5	627890	628020	"CNAG_01307b"	0	"+"	"STAT 30"	"Sharp"
"53...486"	5	627890	628020	"CNAG_01307bc"	0	"+"	"STAT 37"	"Broad"
"66...487"	5	623320	623450	"CNAG_01309"	0	"+"	"EXPO 30"	"Broad"
"64...488"	5	623331	623461	"CNAG_01309b"	0	"+"	"STAT 30"	"Broad"
"50...489"	5	623331	623461	"CNAG_01309bc"	0	"+"	"EXPO 37"	"Broad"
"54...490"	5	623331	623461	"CNAG_01309bcd"	0	"+"	"STAT 37"	"Broad"
"424...491"	5	609171	609301	"CNAG_01317"	0	"-"	"EXPO 30"	"NA"
"417...492"	5	607864	607994	"CNAG_01318"	0	"-"	"STAT 30"	"Broad"
"67...493"	5	601315	601445	"CNAG_01320"	0	"+"	"EXPO 30"	"NA"
"65...494"	5	601315	601445	"CNAG_01320b"	0	"+"	"STAT 30"	"Broad"
"51...495"	5	601315	601445	"CNAG_01320bc"	0	"+"	"EXPO 37"	"Broad"
"55...496"	5	601315	601445	"CNAG_01320bcd"	0	"+"	"STAT 37"	"Broad"
"68...497"	5	597956	598086	"CNAG_01322"	0	"+"	"EXPO 30"	"Broad"
"66...498"	5	597959	598089	"CNAG_01322b"	0	"+"	"STAT 30"	"Broad"
"52...499"	5	597956	598086	"CNAG_01322bc"	0	"+"	"EXPO 37"	"Broad"
"418...500"	5	597854	597984	"CNAG_01323"	0	"-"	"STAT 30"	"Broad"
"425...501"	5	581011	581141	"CNAG_01332"	0	"-"	"EXPO 30"	"NA"
"419...502"	5	581011	581141	"CNAG_01332b"	0	"-"	"STAT 30"	"Sharp"
"320...503"	5	581011	581141	"CNAG_01332bc"	0	"-"	"EXPO 37"	"Sharp"
"342...504"	5	581011	581141	"CNAG_01332bcd"	0	"-"	"STAT 37"	"NA"
"420...505"	5	561178	561308	"CNAG_01339"	0	"-"	"STAT 30"	"Broad"
"321...506"	5	561178	561308	"CNAG_01339b"	0	"-"	"EXPO 37"	"Sharp"
"426...507"	5	536120	536250	"CNAG_01348"	0	"-"	"EXPO 30"	"Sharp"
"421...508"	5	536120	536250	"CNAG_01348b"	0	"-"	"STAT 30"	"Sharp"
"322...509"	5	536120	536250	"CNAG_01348bc"	0	"-"	"EXPO 37"	"Sharp"
"343...510"	5	536120	536250	"CNAG_01348bcd"	0	"-"	"STAT 37"	"NA"
"69...511"	5	505896	506026	"CNAG_01359"	0	"+"	"EXPO 30"	"NA"
"67...512"	5	505896	506026	"CNAG_01359b"	0	"+"	"STAT 30"	"NA"
"70...513"	5	497329	497459	"CNAG_01361"	0	"+"	"EXPO 30"	"Broad"
"422...514"	5	497182	497312	"CNAG_01362"	0	"-"	"STAT 30"	"Broad"
"344...515"	5	497182	497312	"CNAG_01362b"	0	"-"	"STAT 37"	"Broad"
"71...516"	5	455234	455364	"CNAG_01376"	0	"+"	"EXPO 30"	"NA"
"323...517"	5	448184	448314	"CNAG_01379"	0	"-"	"EXPO 37"	"Broad"
"72...518"	5	422974	423104	"CNAG_01390"	0	"+"	"EXPO 30"	"Broad"
"427...519"	5	414188	414318	"CNAG_01395"	0	"-"	"EXPO 30"	"Broad"
"73...520"	5	403849	403979	"CNAG_01399"	0	"+"	"EXPO 30"	"Broad"
"428...521"	5	403704	403834	"CNAG_01400"	0	"-"	"EXPO 30"	"Broad"
"324...522"	5	403704	403834	"CNAG_01400b"	0	"-"	"EXPO 37"	"Broad"
"74...523"	5	363548	363678	"CNAG_01417"	0	"+"	"EXPO 30"	"NA"
"68...524"	5	363548	363678	"CNAG_01417b"	0	"+"	"STAT 30"	"NA"
"53...525"	5	363548	363678	"CNAG_01417bc"	0	"+"	"EXPO 37"	"NA"
"56...526"	5	363548	363678	"CNAG_01417bcd"	0	"+"	"STAT 37"	"NA"
"429...527"	5	363402	363532	"CNAG_01418"	0	"-"	"EXPO 30"	"NA"
"325...528"	5	363402	363532	"CNAG_01418b"	0	"-"	"EXPO 37"	"NA"
"69...529"	5	331385	331515	"CNAG_01428"	0	"+"	"STAT 30"	"Broad"
"57...530"	5	331395	331525	"CNAG_01428b"	0	"+"	"STAT 37"	"Broad"
"75...531"	5	311921	312051	"CNAG_01437"	0	"+"	"EXPO 30"	"Broad"
"70...532"	5	311921	312051	"CNAG_01437b"	0	"+"	"STAT 30"	"Broad"
"76...533"	5	306329	306459	"CNAG_01439"	0	"+"	"EXPO 30"	"NA"
"71...534"	5	306329	306459	"CNAG_01439b"	0	"+"	"STAT 30"	"Broad"
"54...535"	5	306329	306459	"CNAG_01439bc"	0	"+"	"EXPO 37"	"Broad"
"58...536"	5	306329	306459	"CNAG_01439bcd"	0	"+"	"STAT 37"	"Broad"
"423...537"	5	290967	291097	"CNAG_01446"	0	"-"	"STAT 30"	"Broad"
"430...538"	5	281476	281606	"CNAG_01451"	0	"-"	"EXPO 30"	"Sharp"
"326...539"	5	281476	281606	"CNAG_01451b"	0	"-"	"EXPO 37"	"Sharp"
"77...540"	5	270425	270555	"CNAG_01455"	0	"+"	"EXPO 30"	"Broad"
"72...541"	5	270425	270555	"CNAG_01455b"	0	"+"	"STAT 30"	"Broad"
"55...542"	5	270425	270555	"CNAG_01455bc"	0	"+"	"EXPO 37"	"Broad"
"59...543"	5	270425	270555	"CNAG_01455bcd"	0	"+"	"STAT 37"	"Sharp"
"345...544"	11	23146	23276	"CNAG_01464"	0	"-"	"STAT 37"	"Broad"
"424...545"	11	41068	41198	"CNAG_01470"	0	"-"	"STAT 30"	"NA"
"425...546"	11	73885	74015	"CNAG_01480"	0	"-"	"STAT 30"	"Sharp"
"346...547"	11	73885	74015	"CNAG_01480b"	0	"-"	"STAT 37"	"Sharp"
"73...548"	11	77201	77331	"CNAG_01482"	0	"+"	"STAT 30"	"Broad"
"78...549"	11	87604	87734	"CNAG_01486"	0	"+"	"EXPO 30"	"NA"
"74...550"	11	87604	87734	"CNAG_01486b"	0	"+"	"STAT 30"	"Sharp"
"56...551"	11	87604	87734	"CNAG_01486bc"	0	"+"	"EXPO 37"	"NA"
"60...552"	11	87604	87734	"CNAG_01486bcd"	0	"+"	"STAT 37"	"Sharp"
"79...553"	11	100773	100903	"CNAG_01492"	0	"+"	"EXPO 30"	"Broad"
"75...554"	11	100781	100911	"CNAG_01492b"	0	"+"	"STAT 30"	"Broad"
"61...555"	11	100781	100911	"CNAG_01492bc"	0	"+"	"STAT 37"	"Broad"
"431...556"	11	103443	103573	"CNAG_01493"	0	"-"	"EXPO 30"	"NA"
"432...557"	11	186158	186288	"CNAG_01526"	0	"-"	"EXPO 30"	"NA"
"426...558"	11	186158	186288	"CNAG_01526b"	0	"-"	"STAT 30"	"NA"
"327...559"	11	186158	186288	"CNAG_01526bc"	0	"-"	"EXPO 37"	"NA"
"433...560"	11	237164	237294	"CNAG_01539"	0	"-"	"EXPO 30"	"Sharp"
"62...561"	11	256820	256950	"CNAG_01549"	0	"+"	"STAT 37"	"Broad"
"80...562"	11	271294	271424	"CNAG_01557"	0	"+"	"EXPO 30"	"NA"
"76...563"	11	271294	271424	"CNAG_01557b"	0	"+"	"STAT 30"	"NA"
"63...564"	11	271305	271435	"CNAG_01557bc"	0	"+"	"STAT 37"	"NA"
"81...565"	11	273710	273840	"CNAG_01558"	0	"+"	"EXPO 30"	"Sharp"
"77...566"	11	273710	273840	"CNAG_01558b"	0	"+"	"STAT 30"	"Sharp"
"57...567"	11	273710	273840	"CNAG_01558bc"	0	"+"	"EXPO 37"	"Sharp"
"64...568"	11	273710	273840	"CNAG_01558bcd"	0	"+"	"STAT 37"	"Broad"
"434...569"	11	294698	294828	"CNAG_01563"	0	"-"	"EXPO 30"	"Sharp"
"427...570"	11	294698	294828	"CNAG_01563b"	0	"-"	"STAT 30"	"Sharp"
"328...571"	11	294698	294828	"CNAG_01563bc"	0	"-"	"EXPO 37"	"Sharp"
"347...572"	11	294698	294828	"CNAG_01563bcd"	0	"-"	"STAT 37"	"Sharp"
"435...573"	11	340417	340547	"CNAG_01577"	0	"-"	"EXPO 30"	"NA"
"428...574"	11	340413	340543	"CNAG_01577b"	0	"-"	"STAT 30"	"NA"
"329...575"	11	340413	340543	"CNAG_01577bc"	0	"-"	"EXPO 37"	"Sharp"
"348...576"	11	340413	340543	"CNAG_01577bcd"	0	"-"	"STAT 37"	"Broad"
"349...577"	11	356848	356978	"CNAG_01583"	0	"-"	"STAT 37"	"Broad"
"82...578"	11	358884	359014	"CNAG_01585"	0	"+"	"EXPO 30"	"NA"
"78...579"	11	358893	359023	"CNAG_01585b"	0	"+"	"STAT 30"	"Broad"
"65...580"	11	358893	359023	"CNAG_01585bc"	0	"+"	"STAT 37"	"Broad"
"436...581"	11	361050	361180	"CNAG_01586"	0	"-"	"EXPO 30"	"Broad"
"429...582"	11	361050	361180	"CNAG_01586b"	0	"-"	"STAT 30"	"Broad"
"330...583"	11	361050	361180	"CNAG_01586bc"	0	"-"	"EXPO 37"	"Broad"
"350...584"	11	361047	361177	"CNAG_01586bcd"	0	"-"	"STAT 37"	"Broad"
"83...585"	11	361157	361287	"CNAG_01587"	0	"+"	"EXPO 30"	"Broad"
"79...586"	11	361157	361287	"CNAG_01587b"	0	"+"	"STAT 30"	"Broad"
"58...587"	11	361157	361287	"CNAG_01587bc"	0	"+"	"EXPO 37"	"Broad"
"66...588"	11	361157	361287	"CNAG_01587bcd"	0	"+"	"STAT 37"	"Broad"
"437...589"	11	374433	374563	"CNAG_01593"	0	"-"	"EXPO 30"	"Broad"
"430...590"	11	374433	374563	"CNAG_01593b"	0	"-"	"STAT 30"	"Broad"
"351...591"	11	374433	374563	"CNAG_01593bc"	0	"-"	"STAT 37"	"Broad"
"84...592"	11	375347	375477	"CNAG_01594"	0	"+"	"EXPO 30"	"Broad"
"80...593"	11	375350	375480	"CNAG_01594b"	0	"+"	"STAT 30"	"NA"
"59...594"	11	375350	375480	"CNAG_01594bc"	0	"+"	"EXPO 37"	"Sharp"
"67...595"	11	375350	375480	"CNAG_01594bcd"	0	"+"	"STAT 37"	"Sharp"
"85...596"	11	381349	381479	"CNAG_01596"	0	"+"	"EXPO 30"	"Broad"
"81...597"	11	381349	381479	"CNAG_01596b"	0	"+"	"STAT 30"	"Sharp"
"60...598"	11	381349	381479	"CNAG_01596bc"	0	"+"	"EXPO 37"	"Broad"
